bg,humus_kat,pH_lo,pH_hi,CaO
4,<4,4.9,4.9,94
4,<4,5.0,5.0,88
4,<4,5.1,5.1,82
4,<4,5.2,5.2,76
4,4.1-8.0,,4.2,115
4,4.1-8.0,4.3,4.3,108
4,4.1-8.0,4.4,4.4,102
4,4.1-8.0,4.5,4.5,95
4,4.1-8.0,4.6,4.6,89
4,4.1-8.0,4.7,4.7,82
4,4.1-8.0,4.8,4.8,75
4,4.1-8.0,4.9,4.9,69
4,8.1-15.0,,3.8,109
4,8.1-15.0,3.9,3.9,103
4,8.1-15.0,4.0,4.0,97
4,8.1-15.0,4.1,4.1,90
4,8.1-15.0,4.2,4.2,84
4,8.1-15.0,4.3,4.3,78
4,8.1-15.0,4.4,4.4,71
4,8.1-15.0,4.5,4.5,65
4,15.1-30.0,,3.3,39
4,15.1-30.0,3.4,3.4,37
4,15.1-30.0,3.5,3.5,35
4,15.1-30.0,3.6,3.6,33
4,15.1-30.0,3.7,3.7,31
4,15.1-30.0,3.8,3.8,29
4,15.1-30.0,3.9,3.9,27
4,15.1-30.0,4.0,4.0,25
4,<4,5.3,5.3,70
4,<4,5.4,5.4,65
4,<4,5.5,5.5,59
4,<4,5.6,5.6,53
4,<4,5.7,5.7,47
4,<4,5.8,5.8,41
4,<4,5.9,5.9,36
4,<4,6.0,6.0,30
4,<4,6.1,6.1,24
4,<4,6.2,6.2,18
4,4.1-8.0,5.0,5.0,62
4,4.1-8.0,5.1,5.1,55
4,4.1-8.0,5.2,5.2,49
4,4.1-8.0,5.3,5.3,42
4,4.1-8.0,5.4,5.4,36
4,4.1-8.0,5.5,5.5,29
4,4.1-8.0,5.6,5.6,22
4,4.1-8.0,5.7,5.7,16
4,8.1-15.0,4.6,4.6,59
4,8.1-15.0,4.7,4.7,52
4,8.1-15.0,4.8,4.8,46
4,8.1-15.0,4.9,4.9,40
4,8.1-15.0,5.0,5.0,33
4,8.1-15.0,5.1,5.1,27
4,8.1-15.0,5.2,5.2,21
4,8.1-15.0,5.3,5.3,14
4,15.1-30.0,4.1,4.1,23
4,15.1-30.0,4.2,4.2,21
4,15.1-30.0,4.3,4.3,19
4,15.1-30.0,4.4,4.4,17
4,15.1-30.0,4.5,4.5,15
4,15.1-30.0,4.6,4.6,13
4,15.1-30.0,4.7,4.7,11
4,15.1-30.0,4.8,4.8,9
4,15.1-30.0,4.9,4.9,7
4,<4,6.3,7.0,17
4,4.1-8.0,5.8,6.5,15
4,8.1-15.0,5.4,6.1,13
4,15.1-30.0,5.0,5.7,6
5,<4,,4.5,160
